Feature,Importance
Total_Stops,0.48944810636896524
Airline_Jet Airways,0.06944639715242634
Duration_in_minutes,0.05996466513817152
Arrival_Hour,0.04431342001777551
Arrival_Min,0.04059013116882674
Dep_Hour,0.02793424539471113
Airline_Jet Airways Business,0.027841326442244036
Airline_Multiple carriers,0.027626914988971796
Airline_IndiGo,0.026400765456236826
Month,0.020533844888382342
Dep_Min,0.02036906921950252
WeekDay_Friday,0.01778757372427423
Additional_Info_In-flight meal not included,0.01728183236579837
Source_Banglore,0.015587440336538567
Source_Mumbai,0.009281114743452607
Additional_Info_No info,0.008062823925877637
Airline_Air India,0.006940104925889222
Airline_SpiceJet,0.006455739489515861
WeekDay_Sunday,0.00587666226878998
WeekDay_Thursday,0.005460350702504758
Source_Delhi,0.0054555406153837934
Destination_Cochin,0.005401179045386936
WeekDay_Wednesday,0.004760905896679313
Destination_Banglore,0.0045107399263592685
Source_Kolkata,0.004451847277895633
Airline_Vistara,0.0044157144814822614
WeekDay_Tuesday,0.003499822431264758
WeekDay_Monday,0.0034535387647009973
WeekDay_Saturday,0.0034233973839547086
Destination_Delhi,0.0028068844414597337
Source_Chennai,0.0023202754546001216
Airline_Air Asia,0.0017487608638422575
Airline_GoAir,0.0016946501709768627
Additional_Info_No check-in baggage included,0.0013575284766355888
Additional_Info_2 Long layover,0.0013321600557829004
Additional_Info_1 Long layover,0.0006459823944428271
Destination_Hyderabad,0.0006448573584307014
Destination_Kolkata,0.0005189876437663261
Airline_Multiple carriers Premium economy,0.00028262527163611085
Additional_Info_Change airports,7.095009111121353e-05
Airline_Vistara Premium economy,1.1232353524556108e-06
